time_us,pwm,pos
97104212,-147,-5811.0
97204212,-147,-5877.0
97304212,-193,-5942.0
97404212,-193,-6025.0
97504220,-193,-6111.0
97604224,-193,-6198.0
97704228,-193,-6284.0
97804232,-193,-6371.0
97904240,-193,-6457.0
98004240,108,-6544.0
98104240,108,-6516.0
98204248,108,-6467.0
98304248,108,-6418.0
98404248,108,-6369.0
98504252,108,-6320.0
98604252,108,-6272.0
98704256,139,-6223.0
98804264,139,-6163.0
98904272,139,-6100.0
99004276,139,-6037.0
99104280,139,-5974.0
99204280,139,-5911.0
99304284,139,-5848.0
99404288,-221,-5786.0
99504296,-221,-5857.0
99604296,-221,-5956.0
99704304,-221,-6055.0
99804308,-221,-6154.0
99904308,-221,-6253.0
100004308,-221,-6352.0
100104308,-165,-6451.0
100204308,-165,-6530.0
100304312,-165,-6604.0
100404316,-165,-6678.0
100504320,-165,-6752.0
100604324,-165,-6826.0
100704332,-165,-6900.0
100804336,216,-6974.0
100904340,216,-6907.0
101004340,216,-6809.0
101104348,216,-6711.0
101204356,216,-6613.0
101304364,216,-6514.0
101404368,216,-6416.0
101504376,230,-6318.0
101604384,230,-6215.0
101704384,230,-6110.0
101804396,230,-6005.0
101904404,230,-5901.0
102004404,230,-5796.0
102104412,230,-5691.0
102204412,-98,-5587.0
102304416,-98,-5606.0
102404424,-98,-5649.0
102504432,-98,-5693.0
102604432,-98,-5736.0
102704436,-98,-5780.0
102804436,-98,-5824.0
102904440,183,-5867.0
103004444,183,-5806.0
103104452,183,-5723.0
103204460,183,-5640.0
103304464,183,-5557.0
103404472,183,-5474.0
103504480,183,-5390.0
103604480,-114,-5308.0
103704484,-114,-5337.0
103804488,-114,-5388.0
103904488,-114,-5439.0
104004496,-114,-5490.0
104104500,-114,-5541.0
104204500,-114,-5592.0
104304508,-113,-5643.0
104404516,-113,-5694.0
104504516,-113,-5744.0
104604516,-113,-5795.0
104704520,-113,-5845.0
104804520,-113,-5895.0
104904520,-113,-5946.0
105004524,182,-5996.0
105104528,182,-5935.0
105204536,182,-5853.0
105304544,182,-5770.0
105404544,182,-5687.0
105504544,182,-5605.0
105604552,182,-5522.0
105704552,186,-5440.0
105804556,186,-5355.0
105904560,186,-5271.0
106004560,186,-5187.0
106104564,186,-5102.0
106204568,186,-5018.0
106304568,186,-4933.0
106404572,-131,-4849.0
106504572,-131,-4885.0
106604572,-131,-4944.0
106704576,-131,-5002.0
106804588,-131,-5061.0
106904592,-131,-5120.0
107004596,-131,-5178.0
107104600,-234,-5237.0
107204600,-234,-5333.0
107304604,-234,-5438.0
107404604,-234,-5543.0
107504608,-234,-5648.0
107604612,-234,-5753.0
107704612,-234,-5858.0
107804628,-206,-5963.0
107904628,-206,-6058.0
108004632,-206,-6150.0
108104636,-206,-6242.0
108204636,-206,-6335.0
108304644,-206,-6427.0
108404652,-206,-6520.0
108504652,152,-6612.0
108604660,152,-6570.0
108704668,152,-6501.0
108804676,152,-6433.0
108904676,152,-6364.0
109004684,152,-6295.0
109104684,152,-6226.0
109204688,-101,-6157.0
109304692,-101,-6185.0
109404692,-101,-6230.0
109504696,-101,-6275.0
109604696,-101,-6320.0
109704696,-101,-6364.0
109804704,-101,-6409.0
109904712,173,-6454.0
110004716,173,-6396.0
110104724,173,-6317.0
110204724,173,-6239.0
110304724,173,-6160.0
110404728,173,-6082.0
110504732,173,-6004.0
110604736,-139,-5925.0
110704736,-139,-5966.0
110804736,-139,-6028.0
110904736,-139,-6090.0
111004740,-139,-6152.0
111104740,-139,-6214.0
111204740,-139,-6276.0
111304744,93,-6338.0
111404744,93,-6313.0
111504756,93,-6272.0
111604760,93,-6230.0
111704768,93,-6188.0
111804776,93,-6146.0
111904784,93,-6105.0
112004784,165,-6063.0
